descripcion,nombre,idTipo,idValor
,INSTITUTO OCTAVIO MATTA CONTRERAS,11,229
,INSTITUTO OTTO TONSMANN,11,230
,INSTITUTO OXAPAMPA,11,231
,INSTITUTO PABLO CASALS,11,232
,INSTITUTO PAPA JUAN XXIII,11,233
,INSTITUTO PASCO,11,234
,INSTITUTO PEDAGOGICO JOSE CARLOS MARIATEGUI,11,235
,INSTITUTO PEDAGOGICO PRIVADO RAUL PORRAS BARRENECHEA,11,236
,INSTITUTO PEDRO ORTIZ MONTOYA,11,237
,INSTITUTO PERUANO ALEMAN,11,238
,INSTITUTO PERUANO DE MARKETING,11,239
,INSTITUTO PERUANO DE PUBLICIDAD - IPP,11,240
,INSTITUTO PESTALOZZI,11,241
,INSTITUTO PROFESIONES EMPRESARIALES,11,242
,INSTITUTO RAMON COPAJA,11,243
,INSTITUTO SALUD Y BELLEZA,11,244
,INSTITUTO SAN AGUSTIN,11,245
,INSTITUTO SAN ANDRES,11,246
,INSTITUTO SAN EDUARDO,11,247
,INSTITUTO SAN IGNACIO DE LOYOLA,11,248
,INSTITUTO SAN IGNACIO DE MONTERRICO-SIDEM,11,249
,INSTITUTO SAN JUAN BAUTISTA LA SALLE,11,250
,INSTITUTO SAN JUAN DE DIOS,11,251
,INSTITUTO SAN MARCOS,11,252
,INSTITUTO SAN MARTIN DEL PERU,11,253
,INSTITUTO SAN VICENTE DE PAUL,11,254
,INSTITUTO SANTA CRUZ,11,255
,INSTITUTO SANTA LUCIA,11,256
,INSTITUTO SANTA URSULA,11,257
,INSTITUTO SANTIAGO ANTUNEZ DE MAYOLO,11,258
,INSTITUTO SANTO TOMAS DE AQUINO,11,259
,INSTITUTO SEMINARIO DE GUADALAJARA,11,260
,INSTITUTO SENOR DE BURGOS,11,261
,INSTITUTO SENOR DE LUREN,11,262
,INSTITUTO SERGIO BERNALES,11,263
,INSTITUTO SERGIO BERNALES GARCIA,11,264
,INSTITUTO SERGIO BERNALES-CAJAMARCA,11,265
,INSTITUTO SUPERIOR COMPLEJO HOSPITALARIO SAN PABLO,11,266
,INSTITUTO SUPERIOR DE LA CLINICA RICARDO PALMA,11,267
